15584496870531330045;1;1564142185324
7334217430571760797;3;1564142185324
1469614678250497328;4;1564142185324
4722992544270844101;4;1564142185324
11117235154852629244;5;1564142185324
7187317517931894141;1;1564142185324
9405983226316857161;3;1564142185324
12841836687754765753;4;1564142185324
980675873209370477;1;1564142185324
7462984088475419020;1;1564142185324
2415749410128951943;1;1564142185324
1915947521119508517;1;1564142185324
5020723185828981022;2;1564142185324
9228782626062525010;3;1564174913634
13167532759955860855;1;1564142185324
1602300476182152766;3;1564142185324
17670296774493775815;1;1564142185324
10885895983196431682;1;1564142185324
15900668901757284953;1;1564142185324
12581091820847023844;2;1564142185324
